frame,timestamp,trunk_sagittal_tilt_deg,trunk_lateral_tilt_deg,pelvic_obliquity_deg,pelvic_tilt_sagittal_deg,pelvis_yaw_deg,shoulder_yaw_deg,pelvis_shoulder_dissociation_deg,hip_flex_R_deg,hip_flex_L_deg,knee_flex_R_deg,knee_flex_L_deg,ankle_dorsi_R_deg,ankle_dorsi_L_deg,hip_rotation_index_deg,shoulder_rotation_index_deg
58,1.9328,-7.4706,-177.8284,-176.6389,-70.1269,-176.6389,-177.8284,-1.1896,3.3813,8.2438,174.5224,171.2211,179.5023,164.8029,-4.8624,-1.1896
59,1.9662,-7.2597,-177.951,-176.6809,-70.0346,-176.6809,-177.951,-1.2701,4.0436,7.9022,173.9527,170.2086,179.8611,164.6833,-3.8586,-1.2701
60,1.9995,-6.8499,-178.3197,-176.8054,-70.2349,-176.8054,-178.3197,-1.5143,4.483,6.9919,173.5912,168.268,179.6727,164.5819,-2.509,-1.5143
61,2.0328,-6.3862,-178.5777,-176.5769,-70.0936,-176.5769,-178.5777,-2.0008,4.6583,5.8515,173.9033,165.591,179.616,164.2432,-1.1932,-2.0008
62,2.0661,-6.4122,-178.5874,-176.456,-70.8282,-176.456,-178.5874,-2.1314,5.3717,4.8739,173.454,164.2889,179.1011,165.9024,0.4978,-2.1314
63,2.0995,-6.4632,-178.6407,-176.3059,-70.2604,-176.3059,-178.6407,-2.3348,5.8298,3.4075,173.2379,161.63,179.3979,163.8608,2.4223,-2.3348
64,2.1328,-6.8637,-178.6418,-176.3496,-70.3755,-176.3496,-178.6418,-2.2923,6.5852,2.5507,172.8224,164.3023,178.3119,163.0621,4.0345,-2.2923
65,2.1661,-6.9657,-178.6418,-176.5292,-70.0683,-176.5292,-178.6418,-2.1126,6.6898,2.1211,173.0555,167.4373,177.255,167.6222,4.5687,-2.1126
66,2.1994,-7.0458,-178.6418,-176.5343,-68.4974,-176.5343,-178.6418,-2.1075,6.7951,1.6925,173.4596,169.7501,175.1714,170.5472,5.1025,-2.1075
67,2.2328,-7.0962,-178.7431,-176.703,-67.5006,-176.703,-178.7431,-2.0401,6.5393,1.6795,173.9625,171.9519,173.9706,170.2724,4.8598,-2.0401
68,2.2661,-7.369,-178.7536,-176.6187,-67.3386,-176.6187,-178.7536,-2.1349,6.8496,1.3804,173.484,173.9489,173.6437,172.3474,5.4692,-2.1349
69,2.2994,-7.5303,-178.8105,-176.7968,-65.8478,-176.7968,-178.8105,-2.0137,7.0929,1.2768,172.7398,174.7067,174.0892,173.6581,5.8161,-2.0137
70,2.3327,-7.9527,-178.7143,-176.3817,-64.8782,-176.3817,-178.7143,-2.3326,6.6246,2.0993,172.8721,177.3233,173.9526,174.7192,4.5252,-2.3326
71,2.3661,-8.7028,-178.6028,-176.3247,-65.8046,-176.3247,-178.6028,-2.2781,6.161,2.7768,172.9952,178.8114,176.5679,176.7787,3.3842,-2.2781
72,2.3994,-9.556,-178.0924,-175.742,-65.8359,-175.742,-178.0924,-2.3504,5.3638,2.8824,173.9501,178.9988,177.2179,178.3622,2.4814,-2.3504
73,2.4327,-10.194,-177.7552,-175.4294,-65.9878,-175.4294,-177.7552,-2.3258,4.4248,2.9748,175.1338,178.8301,177.089,179.9164,1.45,-2.3258
74,2.466,-9.9506,-177.5964,-176.4033,-65.2052,-176.4033,-177.5964,-1.1931,2.8886,4.2065,177.3024,179.0974,175.619,179.1447,-1.3179,-1.1931
75,2.4994,-10.2125,-177.4677,-176.6717,-65.3407,-176.6717,-177.4677,-0.796,1.5458,4.2571,179.9531,177.3604,170.2938,178.5238,-2.7113,-0.796
76,2.5327,-10.4164,-177.4355,-176.6099,-67.2357,-176.6099,-177.4355,-0.8257,0.0836,4.5453,177.6039,176.0459,166.1093,175.981,-4.4617,-0.8257
77,2.566,-10.1837,-177.6372,-176.4388,-68.1033,-176.4388,-177.6372,-1.1984,1.4857,5.1728,175.0669,175.645,164.7976,174.2036,-3.6871,-1.1984
78,2.5993,-9.6758,-177.658,-176.3632,-68.7814,-176.3632,-177.658,-1.2948,2.9165,5.9965,173.5688,175.275,169.2673,172.6951,-3.08,-1.2948
79,2.6327,-9.1589,-177.9984,-176.695,-70.3238,-176.695,-177.9984,-1.3034,2.4137,6.393,176.115,174.7411,175.7806,171.2625,-3.9794,-1.3034
80,2.666,-8.5928,-178.1014,-176.7135,-70.7065,-176.7135,-178.1014,-1.3879,1.7976,7.2817,178.8785,174.8216,178.8139,170.2465,-5.4841,-1.3879
81,2.6993,-8.493,-178.0729,-176.568,-69.9684,-176.568,-178.0729,-1.505,0.8598,7.7023,179.0439,174.6302,178.1841,169.8852,-6.8425,-1.505
82,2.7326,-8.4052,-178.0729,-176.7766,-69.4012,-176.7766,-178.0729,-1.2964,0.306,8.5734,177.8416,175.0375,179.1899,169.8681,-8.2674,-1.2964
83,2.766,-7.8912,-177.9897,-177.1064,-67.8288,-177.1064,-177.9897,-0.8833,0.3089,8.7102,178.093,174.2019,177.4523,169.6082,-8.4013,-0.8833
84,2.7993,-7.3841,-178.0419,-177.6076,-66.2015,-177.6076,-178.0419,-0.4343,0.5326,9.6831,176.53,174.9146,176.3445,169.348,-9.1505,-0.4343
85,2.8326,-7.2287,-177.7838,-177.3138,-67.7241,-177.3138,-177.7838,-0.4699,2.5481,9.6404,172.6433,174.0983,178.7678,169.7873,-7.0923,-0.4699
86,2.8659,-7.2279,-177.8247,-177.1568,-69.349,-177.1568,-177.8247,-0.6679,4.0803,9.5134,170.1697,173.9983,177.3721,172.2212,-5.433,-0.6679
87,2.8993,-6.4201,-178.0011,-177.084,-70.1646,-177.084,-178.0011,-0.9171,4.3535,9.5134,170.1298,174.3803,172.7324,173.9898,-5.1599,-0.9171
88,2.9326,-5.3622,-178.1877,-177.1568,-68.9171,-177.1568,-178.1877,-1.0309,4.2472,9.335,170.3737,173.9715,168.5532,173.5986,-5.0878,-1.0309
89,2.9659,-5.0785,-178.2415,-177.4906,-68.3885,-177.4906,-178.2415,-0.7508,4.7155,9.0963,170.0715,173.6407,168.1591,172.2405,-4.3808,-0.7508
90,2.9992,-5.1621,-178.2466,-177.3736,-68.1915,-177.3736,-178.2466,-0.873,5.2464,8.8152,169.7012,172.7401,168.2965,169.8564,-3.5688,-0.873
91,3.0326,-4.9122,-178.3019,-177.5041,-68.1525,-177.5041,-178.3019,-0.7979,5.2464,8.81,170.6973,172.761,169.1876,169.6973,-3.5636,-0.7979
92,3.0659,-5.2591,-178.3249,-177.4266,-65.9379,-177.4266,-178.3249,-0.8983,5.7815,7.35,171.7199,170.0432,170.5286,168.8269,-1.5685,-0.8983
93,3.0992,-5.0219,-178.301,-177.5197,-65.3597,-177.5197,-178.301,-0.7814,5.6246,6.4831,172.8404,168.4419,171.5726,169.2852,-0.8584,-0.7814
94,3.1325,-5.1672,-178.4257,-177.4708,-66.8973,-177.4708,-178.4257,-0.9549,5.6397,5.2146,173.6573,166.5422,172.5753,168.9642,0.425,-0.9549
95,3.1659,-5.3958,-178.6303,-177.1271,-65.3175,-177.1271,-178.6303,-1.5032,6.222,3.3794,173.3515,163.9639,172.6987,164.8209,2.8426,-1.5032
96,3.1992,-5.4961,-178.7555,-177.2073,-65.9315,-177.2073,-178.7555,-1.5482,6.3876,2.3343,173.4686,164.5334,173.3823,161.4392,4.0533,-1.5482
97,3.2325,-5.6621,-178.7109,-177.3564,-63.9069,-177.3564,-178.7109,-1.3545,6.5683,2.0171,173.6495,167.9361,174.8435,161.6534,4.5512,-1.3545
98,3.2658,-5.6097,-178.7503,-177.5589,-59.5132,-177.5589,-178.7503,-1.1913,6.2851,1.3538,174.5208,169.2116,176.8876,162.2526,4.9313,-1.1913
99,3.2992,-5.6003,-178.9122,-177.3467,-60.9865,-177.3467,-178.9122,-1.5655,6.1281,1.1994,175.2358,170.9867,177.8485,161.798,4.9288,-1.5655
100,3.3325,-6.0216,-178.9145,-177.1549,-60.4591,-177.1549,-178.9145,-1.7596,6.2934,1.195,175.2858,172.4008,176.9747,166.8457,5.0985,-1.7596
101,3.3658,-6.3766,-178.7667,-177.3098,-56.3391,-177.3098,-178.7667,-1.457,5.7177,2.1756,176.1041,174.6531,177.3372,171.6423,3.5421,-1.457
102,3.3991,-7.2481,-178.5373,-177.1274,-57.288,-177.1274,-178.5373,-1.4099,5.7106,3.0566,175.8968,177.1097,176.5278,175.7039,2.654,-1.4099
103,3.4325,-7.5045,-178.5403,-176.9872,-55.9338,-176.9872,-178.5403,-1.5531,4.9234,4.0856,176.3267,179.4175,175.2696,178.6171,0.8378,-1.5531
104,3.4658,-7.6314,-178.4614,-176.9078,-50.2557,-176.9078,-178.4614,-1.5536,3.928,4.9367,176.9838,179.477,174.3569,179.0951,-1.0087,-1.5536
105,3.4991,-7.6836,-178.3881,-176.8278,-53.6521,-176.8278,-178.3881,-1.5603,2.7094,5.2318,177.5922,179.6312,174.1988,179.706,-2.5224,-1.5603
106,3.5324,-7.7839,-178.1221,-176.759,-55.437,-176.759,-178.1221,-1.3631,1.4162,5.3411,178.6623,178.0831,175.5871,177.8927,-3.925,-1.3631
107,3.5658,-7.6825,-178.2643,-176.5895,-58.4084,-176.5895,-178.2643,-1.6748,0.213,5.6355,179.8837,177.0198,178.8729,176.5064,-5.4225,-1.6748
