frame,timestamp,hip_center_x,hip_center_y,ankle_L_x,ankle_L_y,ankle_R_x,ankle_R_y,foot_index_L_x,foot_index_R_x
146,4.8654,0.668,0.6934,0.6852,0.9032,0.6079,0.9055,0.6858,0.5988
147,4.8988,0.6697,0.6952,0.6853,0.9038,0.6079,0.916,0.6849,0.5968
148,4.9321,0.6708,0.6972,0.6853,0.9047,0.6079,0.9246,0.6856,0.5967
149,4.9654,0.6718,0.7,0.6854,0.9049,0.6076,0.933,0.6858,0.5976
150,4.9987,0.6735,0.701,0.6854,0.9047,0.6071,0.941,0.686,0.5992
151,5.0321,0.6735,0.7018,0.6854,0.9046,0.6065,0.9389,0.6862,0.6011
152,5.0654,0.6743,0.705,0.6853,0.9044,0.6056,0.9415,0.6862,0.6003
153,5.0987,0.6742,0.7074,0.6853,0.9043,0.6035,0.9472,0.6865,0.5952
154,5.132,0.6737,0.7073,0.6851,0.9042,0.6031,0.9443,0.6868,0.593
155,5.1654,0.6734,0.7092,0.6851,0.9035,0.6028,0.9453,0.6868,0.5934
156,5.1987,0.673,0.7104,0.6852,0.9028,0.6023,0.9498,0.6866,0.59
157,5.232,0.6726,0.7098,0.6858,0.9013,0.6022,0.9482,0.6862,0.5903
158,5.2653,0.6717,0.7106,0.6883,0.8992,0.6021,0.9481,0.6862,0.6019
159,5.2987,0.6709,0.7113,0.6887,0.9018,0.6023,0.9491,0.6896,0.6065
160,5.332,0.6705,0.7128,0.6918,0.9123,0.6025,0.9501,0.6956,0.6078
161,5.3653,0.6705,0.7159,0.6959,0.9283,0.6028,0.9523,0.7017,0.6098
162,5.3986,0.6706,0.7183,0.7022,0.9446,0.6032,0.9566,0.7072,0.611
163,5.432,0.6711,0.7188,0.7096,0.9569,0.6044,0.9576,0.7063,0.6112
164,5.4653,0.6716,0.7216,0.716,0.9688,0.6049,0.9605,0.7111,0.6106
165,5.4986,0.6731,0.7225,0.7239,0.9725,0.6054,0.9587,0.71,0.6082
166,5.5319,0.6749,0.7249,0.7312,0.9767,0.6057,0.9582,0.7174,0.6053
167,5.5653,0.6771,0.7244,0.7317,0.9798,0.606,0.9574,0.7202,0.6038
168,5.5986,0.6803,0.7247,0.7357,0.9828,0.608,0.9592,0.7256,0.6036
169,5.6319,0.6863,0.7281,0.7365,0.9811,0.6084,0.9585,0.7322,0.6045
170,5.6652,0.6909,0.7305,0.737,0.9777,0.6087,0.9583,0.7347,0.6044
171,5.6986,0.6933,0.7319,0.7365,0.9825,0.6089,0.9572,0.7405,0.6075
172,5.7319,0.6981,0.7324,0.7363,0.9832,0.609,0.9569,0.7374,0.6075
173,5.7652,0.7002,0.7328,0.7391,0.9804,0.6113,0.9551,0.7365,0.6073
174,5.7985,0.7035,0.7323,0.7395,0.981,0.6145,0.955,0.737,0.6093
175,5.8319,0.7057,0.7324,0.7392,0.9833,0.6184,0.9598,0.7366,0.6115
176,5.8652,0.7075,0.7338,0.7406,0.984,0.621,0.9662,0.7378,0.6132
177,5.8985,0.7089,0.7366,0.7403,0.9858,0.6225,0.9778,0.7417,0.6282
178,5.9318,0.7095,0.7402,0.7403,0.9853,0.6244,0.9836,0.7439,0.6365
179,5.9652,0.7099,0.7431,0.7402,0.9868,0.624,0.9908,0.7435,0.6318
180,5.9985,0.7097,0.7455,0.74,0.9877,0.6239,1.0018,0.7471,0.6238
181,6.0318,0.7105,0.7476,0.7398,0.9888,0.6206,1.0085,0.7396,0.6076
182,6.0651,0.711,0.7494,0.7398,0.9882,0.6165,1.0081,0.7479,0.6023
183,6.0985,0.711,0.7511,0.7401,0.9878,0.6143,1.0074,0.7551,0.603
184,6.1318,0.7106,0.7552,0.7401,0.9883,0.6109,1.0068,0.7595,0.5962
185,6.1651,0.7093,0.7548,0.7392,0.9887,0.608,1.0082,0.7624,0.5922
186,6.1984,0.7041,0.7536,0.7395,0.9906,0.6069,1.0068,0.7607,0.5858
187,6.2318,0.6996,0.754,0.7392,0.9906,0.5984,1.0116,0.7595,0.5786
188,6.2651,0.695,0.7546,0.7392,0.9898,0.5989,1.0053,0.757,0.5727
189,6.2984,0.69,0.7576,0.7391,0.9892,0.5996,1.0051,0.7515,0.5731
190,6.3317,0.6856,0.76,0.7391,0.9891,0.5999,1.0028,0.7483,0.5745
191,6.3651,0.6806,0.763,0.7393,0.9886,0.5999,1.001,0.7375,0.5672
192,6.3984,0.6776,0.7637,0.7393,0.9887,0.5979,1.0039,0.7341,0.5681
193,6.4317,0.6756,0.7692,0.7383,0.9934,0.5982,1.0081,0.7323,0.5698
194,6.465,0.6729,0.769,0.7382,1.0151,0.5927,1.0452,0.7331,0.5708
195,6.4984,0.6702,0.7733,0.7343,1.0401,0.5881,1.0524,0.7224,0.5589
196,6.5317,0.67,0.774,0.7286,1.0715,0.5864,1.0593,0.7078,0.5607
197,6.565,0.6698,0.7777,0.722,1.0863,0.5857,1.0695,0.6956,0.5612
198,6.5983,0.6699,0.7828,0.7225,1.0856,0.5864,1.0665,0.6999,0.5631
199,6.6317,0.6694,0.7864,0.719,1.0907,0.5864,1.0725,0.6981,0.5637
200,6.665,0.6694,0.79,0.7185,1.0908,0.5859,1.0736,0.6994,0.5652
201,6.6983,0.6698,0.7947,0.7191,1.098,0.5837,1.0817,0.7016,0.5678
202,6.7316,0.671,0.7947,0.7194,1.1021,0.5838,1.0831,0.7028,0.568
203,6.765,0.6722,0.7937,0.7196,1.0985,0.5825,1.0776,0.7013,0.5663
204,6.7983,0.673,0.7959,0.7198,1.0962,0.5762,1.077,0.7021,0.5571
205,6.8316,0.676,0.7965,0.7231,1.0916,0.5766,1.0379,0.7028,0.5515
206,6.8649,0.6786,0.7954,0.7327,1.0905,0.577,1.0416,0.7089,0.5381
207,6.8983,0.6803,0.7957,0.7332,1.0593,0.5751,1.0422,0.7185,0.5328
208,6.9316,0.6808,0.7981,0.7407,1.0762,0.5743,1.0441,0.732,0.533
209,6.9649,0.6811,0.7991,0.7417,1.0854,0.5744,1.0428,0.7308,0.5309
210,6.9982,0.6813,0.7987,0.7437,1.0862,0.5757,1.0352,0.7324,0.5404
211,7.0316,0.6819,0.799,0.7433,1.1012,0.5629,1.0819,0.7285,0.5397
212,7.0649,0.6824,0.8002,0.7393,1.0982,0.5554,1.0843,0.7197,0.5401
213,7.0982,0.6822,0.8,0.7366,1.0962,0.5502,1.086,0.7143,0.536
214,7.1315,0.6808,0.8015,0.7324,1.0974,0.5505,1.0901,0.7104,0.54
215,7.1649,0.6787,0.802,0.7302,1.0982,0.5454,1.0889,0.7068,0.5332
216,7.1982,0.6747,0.8053,0.7282,1.0987,0.5383,1.0902,0.7042,0.5276
217,7.2315,0.6701,0.8082,0.7292,1.0979,0.5389,1.0477,0.7053,0.5211
218,7.2648,0.6661,0.8092,0.7249,1.1032,0.5318,1.0837,0.7007,0.5201
219,7.2982,0.6627,0.8101,0.7194,1.1097,0.5304,1.0965,0.7009,0.5214
220,7.3315,0.6575,0.814,0.7148,1.1168,0.5254,1.1036,0.6981,0.5173
221,7.3648,0.6501,0.8209,0.7106,1.1113,0.5117,1.1006,0.6894,0.5062
222,7.3981,0.6416,0.8225,0.7126,1.1218,0.5149,1.1038,0.6901,0.5087
223,7.4315,0.6332,0.8314,0.7131,1.1453,0.517,1.1212,0.6908,0.5125
224,7.4648,0.6239,0.8359,0.7041,1.159,0.5102,1.1449,0.675,0.5129
225,7.4981,0.6151,0.8448,0.7044,1.1802,0.5066,1.1627,0.6776,0.5137
226,7.5314,0.61,0.8514,0.6921,1.1825,0.4999,1.1863,0.6598,0.5108
227,7.5648,0.6046,0.858,0.6779,1.1746,0.4819,1.1986,0.6398,0.4973
228,7.5981,0.6005,0.8671,0.6607,1.1774,0.4691,1.2217,0.6251,0.4908
229,7.6314,0.5975,0.869,0.6626,1.1935,0.4637,1.2266,0.6286,0.4869
230,7.6647,0.5955,0.8754,0.6519,1.2058,0.4517,1.2449,0.6169,0.4733
231,7.6981,0.5922,0.883,0.6735,1.0816,0.454,1.2631,0.6677,0.4758
232,7.7314,0.5911,0.8858,0.6711,1.0833,0.4566,1.2668,0.6655,0.4762
233,7.7647,0.5925,0.8924,0.6722,1.0882,0.4574,1.2805,0.6665,0.4779
234,7.798,0.5928,0.8984,0.672,1.0944,0.4599,1.2904,0.6663,0.4788
235,7.8314,0.596,0.9001,0.6732,1.0957,0.4708,1.2908,0.6675,0.4839
236,7.8647,0.599,0.909,0.674,1.1052,0.4849,1.128,0.6683,0.4892
